"Category","Type","Name","DisplayName","Path"
"Services","UnquotedServicePath","GraphicsPerfSvc","GraphicsPerfSvc","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"Services","UnquotedServicePath","hidserv","Human Interface Device Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","HvHost","HV Host Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","IKEEXT","IKE and AuthIP IPsec Keying Modules","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","InstallService","Microsoft Store Install Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","iphlpsvc","IP Helper","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"Services","UnquotedServicePath","KPSSVC","KDC Proxy Server service (KPS)","C:\Windows\system32\svchost.exe -k KpsSvcGroup"
"Services","UnquotedServicePath","KtmRm","KtmRm for Distributed Transaction Coordinator","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","LanmanServer","Server","C:\Windows\System32\svchost.exe -k smbsvcs"
"Services","UnquotedServicePath","LanmanWorkstation","Workstation","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","lfsvc","Geolocation Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","LicenseManager","Windows License Manager Service","C:\Windows\System32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","lltdsvc","Link-Layer Topology Discovery Mapper","C:\Windows\System32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","lmhosts","TCP/IP NetBIOS Helper","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","LSM","Local Session Manager","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","MapsBroker","Downloaded Maps Manager","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","McpManagementService","McpManagementService","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup"
"Services","UnquotedServicePath","mpssvc","Windows Defender Firewall","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"Services","UnquotedServicePath","MSiSCSI","Microsoft iSCSI Initiator Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","msiserver","Windows Installer","C:\Windows\system32\msiexec.exe /V"
"Services","UnquotedServicePath","NcaSvc","Network Connectivity Assistant","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"Services","UnquotedServicePath","NcbService","Network Connection Broker","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","Netman","Network Connections","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","netprofm","Network List Service","C:\Windows\System32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","NetSetupSvc","Network Setup Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","NgcCtnrSvc","Microsoft Passport Container","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","NgcSvc","Microsoft Passport","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","NlaSvc","Network Location Awareness","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","nsi","Network Store Interface Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","PcaSvc","Program Compatibility Assistant Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","pla","Performance Logs & Alerts","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Services","UnquotedServicePath","PlugPlay","Plug and Play","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","PolicyAgent","IPsec Policy Agent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"Services","UnquotedServicePath","Power","Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","PrintNotify","Printer Extensions and Notifications","C:\Windows\system32\svchost.exe -k print"
"Services","UnquotedServicePath","ProfSvc","User Profile Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","PushToInstall","Windows PushToInstall Service","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","QWAVE","Quality Windows Audio Video Experience","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","RasAuto","Remote Access Auto Connection Manager","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","RasMan","Remote Access Connection Manager","C:\Windows\System32\svchost.exe -k netsvcs"
"Services","UnquotedServicePath","RemoteAccess","Routing and Remote Access","C:\Windows\System32\svchost.exe -k netsvcs"
"Services","UnquotedServicePath","RemoteRegistry","Remote Registry","C:\Windows\system32\svchost.exe -k localService -p"
"Services","UnquotedServicePath","RmSvc","Radio Management Service","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"Services","UnquotedServicePath","RpcEptMapper","RPC Endpoint Mapper","C:\Windows\system32\svchost.exe -k RPCSS -p"
"Services","UnquotedServicePath","RpcSs","Remote Procedure Call (RPC)","C:\Windows\system32\svchost.exe -k rpcss -p"
"Services","UnquotedServicePath","sacsvr","Special Administration Console Helper","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","SCardSvr","Smart Card","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"Services","UnquotedServicePath","ScDeviceEnum","Smart Card Device Enumeration Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"Services","UnquotedServicePath","Schedule","Task Scheduler","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","SCPolicySvc","Smart Card Removal Policy","C:\Windows\system32\svchost.exe -k netsvcs"
"Services","UnquotedServicePath","seclogon","Secondary Logon","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","SEMgrSvc","Payments and NFC/SE Manager","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","SENS","System Event Notification Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","SensorService","Sensor Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","SensrSvc","Sensor Monitoring Service","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","SessionEnv","Remote Desktop Configuration","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","SharedAccess","Internet Connection Sharing (ICS)","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","ShellHWDetection","Shell Hardware Detection","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","shpamsvc","Shared PC Account Manager","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","smphost","Microsoft Storage Spaces SMP","C:\Windows\System32\svchost.exe -k smphost"
"Services","UnquotedServicePath","SSDPSRV","SSDP Discovery","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","SstpSvc","Secure Socket Tunneling Protocol Service","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","StateRepository","State Repository Service","C:\Windows\system32\svchost.exe -k appmodel -p"
"Services","UnquotedServicePath","StiSvc","Windows Image Acquisition (WIA)","C:\Windows\system32\svchost.exe -k imgsvc"
"Services","UnquotedServicePath","StorSvc","Storage Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","svsvc","Spot Verifier","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","swprv","Microsoft Software Shadow Copy Provider","C:\Windows\System32\svchost.exe -k swprv"
"Services","UnquotedServicePath","SysMain","SysMain","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","SystemEventsBroker","System Events Broker","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"Services","UnquotedServicePath","TabletInputService","Touch Keyboard and Handwriting Panel Service","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","tapisrv","Telephony","C:\Windows\System32\svchost.exe -k NetworkService -p"
"Services","UnquotedServicePath","TermService","Remote Desktop Services","C:\Windows\System32\svchost.exe -k termsvcs"
"Services","UnquotedServicePath","Themes","Themes","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","TimeBrokerSvc","Time Broker","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Services","UnquotedServicePath","TokenBroker","Web Account Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","TrkWks","Distributed Link Tracking Client","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","tzautoupdate","Auto Time Zone Updater","C:\Windows\system32\svchost.exe -k LocalService -p"
"Services","UnquotedServicePath","UALSVC","User Access Logging Service","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","UmRdpService","Remote Desktop Services UserMode Port Redirector","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","upnphost","UPnP Device Host","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"Services","UnquotedServicePath","UserManager","User Manager","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","UsoSvc","Update Orchestrator Service","C:\Windows\system32\svchost.exe -k netsvcs -p"
"Services","UnquotedServicePath","vmicguestinterface","Hyper-V Guest Service Interface","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Services","UnquotedServicePath","vmicheartbeat","Hyper-V Heartbeat Service","C:\Windows\system32\svchost.exe -k ICService -p"
