"Name","DisplayName","Status","StartType"
"PcaSvc","Program Compatibility Assistant Service","Running","Automatic"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PimIndexMaintenanceSvc_9bc59a","Contact Data_9bc59a","Stopped","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PolicyAgent","IPsec Policy Agent","Running","Manual"
"Power","Power","Running","Automatic"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"PrintWorkflowUserSvc_9bc59a","PrintWorkflow_9bc59a","Stopped","Manual"
"ProfSvc","User Profile Service","Running","Automatic"
"PushToInstall","Windows PushToInstall Service","Stopped","Disabled"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual"
"RasMan","Remote Access Connection Manager","Running","Automatic"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled"
"RemoteRegistry","Remote Registry","Stopped","Disabled"
"RmSvc","Radio Management Service","Stopped","Disabled"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic"
"RSoPProv","Resultant Set of Policy Provider","Stopped","Manual"
"sacsvr","Special Administration Console Helper","Stopped","Manual"
"SamSs","Security Accounts Manager","Running","Automatic"
"SCardSvr","Smart Card","Stopped","Disabled"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Disabled"
"Schedule","Task Scheduler","Running","Automatic"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual"
"seclogon","Secondary Logon","Stopped","Disabled"
"SecurityHealthService","Windows Security Service","Stopped","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Disabled"
"SENS","System Event Notification Service","Running","Automatic"
"Sense","Windows Defender Advanced Threat Protection Service","Stopped","Manual"
"SensorDataService","Sensor Data Service","Stopped","Disabled"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual"
"SgrmBroker","System Guard Runtime Monitor Broker","Stopped","Manual"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Disabled"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual"
"SNMPTRAP","SNMP Trap","Stopped","Manual"
"Spooler","Print Spooler","Stopped","Disabled"
"sppsvc","Software Protection","Stopped","Automatic"
"SSDPSRV","SSDP Discovery","Stopped","Disabled"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual"
"StateRepository","State Repository Service","Running","Automatic"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual"
"StorSvc","Storage Service","Running","Automatic"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Manual"
"tapisrv","Telephony","Stopped","Manual"
"TermService","Remote Desktop Services","Stopped","Manual"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Running","Manual"
"TrkWks","Distributed Link Tracking Client","Stopped","Manual"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled"
"UALSVC","User Access Logging Service","Running","Automatic"
"UdkUserSvc_9bc59a","Udk User Service_9bc59a","Stopped","Manual"
"UevAgentService","User Experience Virtualization Service","Stopped","Disabled"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Disabled"
"UnistoreSvc_9bc59a","User Data Storage_9bc59a","Stopped","Manual"
"upnphost","UPnP Device Host","Stopped","Disabled"
"UserDataSvc_9bc59a","User Data Access_9bc59a","Stopped","Manual"
"UserManager","User Manager","Running","Automatic"
"UsoSvc","Update Orchestrator Service","Running","Automatic"
"VaultSvc","Credential Manager","Stopped","Manual"
"VBoxService","VirtualBox Guest Additions Service","Running","Automatic"
"vds","Virtual Disk","Running","Manual"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual"
"VSS","Volume Shadow Copy","Stopped","Manual"
"W32Time","Windows Time","Running","Automatic"
"WaaSMedicSvc","Windows Update Medic Service","Stopped","Manual"
"WalletService","WalletService","Stopped","Disabled"
"WarpJITSvc","Warp JIT Service","Stopped","Manual"
"WbioSrvc","Windows Biometric Service","Stopped","Disabled"
"Wcmsvc","Windows Connection Manager","Running","Automatic"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual"
"WdiSystemHost","Diagnostic System Host","Running","Manual"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual"
"Wecsvc","Windows Event Collector","Stopped","Manual"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual"
"WerSvc","Windows Error Reporting Service","Stopped","Disabled"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual"
"WinDefend","Microsoft Defender Antivirus Service","Running","Automatic"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual"
"Winmgmt","Windows Management Instrumentation","Running","Automatic"
"WinRM","Windows Remote Management (WS-Management)","Running","Automatic"
"wisvc","Windows Insider Service","Stopped","Disabled"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual"
"WLMS","Windows Licensing Monitoring Service","Running","Automatic"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Disabled"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual"
"WpnService","Windows Push Notifications System Service","Running","Automatic"
"WpnUserService_9bc59a","Windows Push Notifications User Service_9bc59a","Running","Automatic"
"WSearch","Windows Search","Stopped","Disabled"
"wuauserv","Windows Update","Stopped","Manual"
