"Check","Name","Value"
"UnquotedServicePath","mpssvc","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"UnquotedServicePath","MSiSCSI","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","msiserver","C:\Windows\system32\msiexec.exe /V"
"UnquotedServicePath","NcaSvc","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"UnquotedServicePath","NcbService","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","Netman","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","netprofm","C:\Windows\System32\svchost.exe -k LocalService -p"
"UnquotedServicePath","NetSetupSvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","NgcCtnrSvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"UnquotedServicePath","NgcSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","NlaSvc","C:\Windows\System32\svchost.exe -k NetworkService -p"
"UnquotedServicePath","nsi","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","PcaSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","pla","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"UnquotedServicePath","PlugPlay","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","PolicyAgent","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"UnquotedServicePath","Power","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"UnquotedServicePath","PrintNotify","C:\Windows\system32\svchost.exe -k print"
"UnquotedServicePath","ProfSvc","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","PushToInstall","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","QWAVE","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UnquotedServicePath","RasAuto","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","RasMan","C:\Windows\System32\svchost.exe -k netsvcs"
"UnquotedServicePath","RemoteAccess","C:\Windows\System32\svchost.exe -k netsvcs"
"UnquotedServicePath","RemoteRegistry","C:\Windows\system32\svchost.exe -k localService -p"
"UnquotedServicePath","RmSvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"UnquotedServicePath","RpcEptMapper","C:\Windows\system32\svchost.exe -k RPCSS -p"
"UnquotedServicePath","RpcSs","C:\Windows\system32\svchost.exe -k rpcss -p"
"UnquotedServicePath","sacsvr","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","SCardSvr","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"UnquotedServicePath","ScDeviceEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"UnquotedServicePath","Schedule","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","SCPolicySvc","C:\Windows\system32\svchost.exe -k netsvcs"
"UnquotedServicePath","seclogon","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","SEMgrSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
"UnquotedServicePath","SENS","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","SensorService","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnquotedServicePath","SensrSvc","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UnquotedServicePath","SessionEnv","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","SharedAccess","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","ShellHWDetection","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","shpamsvc","C:\Windows\System32\svchost.exe -k netsvcs -p"
"UnquotedServicePath","smphost","C:\Windows\System32\svchost.exe -k smphost"
"UnquotedServicePath","SSDPSRV","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UnquotedServicePath","SstpSvc","C:\Windows\system32\svchost.exe -k LocalService -p"
