"DisplayName","Name","State","StartMode","PathName","Suspicious"
"Microsoft Hyper-V Generation Counter","gencounter","Stopped","Manual","C:\Windows\system32\drivers\vmgencounter.sys","False"
"Generic USB Function Class","genericusbfn","Stopped","Manual","C:\Windows\system32\DriverStore\FileRepository\genericusbfn.inf_amd64_53931f0ae21d6d2c\genericusbfn.sys","False"
"Microsoft GPIO Class Extension Driver","GPIOClx0101","Stopped","Manual","C:\Windows\system32\Drivers\msgpioclx.sys","False"
"GPU Energy Driver","GpuEnergyDrv","Running","System","C:\Windows\system32\drivers\gpuenergydrv.sys","False"
"Microsoft 1.1 UAA Function Driver for High Definition Audio Service","HdAudAddService","Stopped","Manual","C:\Windows\system32\drivers\HdAudio.sys","False"
"Microsoft UAA Bus Driver for High Definition Audio","HDAudBus","Stopped","Manual","C:\Windows\system32\drivers\HDAudBus.sys","False"
"HID UPS Battery Driver","HidBatt","Stopped","Manual","C:\Windows\system32\drivers\HidBatt.sys","False"
"Microsoft Bluetooth HID Miniport","HidBth","Stopped","Manual","C:\Windows\system32\drivers\hidbth.sys","False"
"Microsoft I2C HID Miniport Driver","hidi2c","Stopped","Manual","C:\Windows\system32\drivers\hidi2c.sys","False"
"Common Driver for HID Buttons implemented with interrupts","hidinterrupt","Stopped","Manual","C:\Windows\system32\drivers\hidinterrupt.sys","False"
"Microsoft Infrared HID Driver","HidIr","Stopped","Manual","C:\Windows\system32\drivers\hidir.sys","False"
"Microsoft SPI HID Miniport Driver","hidspi","Stopped","Manual","C:\Windows\system32\drivers\hidspi.sys","False"
"HidSpi KMDF Class Extension","HidSpiCx","Stopped","Manual","C:\Windows\system32\drivers\HidSpiCx.sys","False"
"Microsoft HID Class Driver","HidUsb","Running","Manual","C:\Windows\system32\drivers\hidusb.sys","False"
"HpSAMD","HpSAMD","Stopped","Manual","C:\Windows\system32\drivers\HpSAMD.sys","False"
"HTTP Service","HTTP","Running","Manual","C:\Windows\system32\drivers\HTTP.sys","False"
"hvcrash","hvcrash","Stopped","Disabled","C:\Windows\system32\drivers\hvcrash.sys","False"
"Hypervisor/Virtual Machine Support Driver","hvservice","Stopped","Manual","C:\Windows\system32\drivers\hvservice.sys","False"
"Microsoft Hardware Notifications Class Extension Driver","HwNClx0101","Stopped","Manual","C:\Windows\system32\Drivers\mshwnclx.sys","False"
"Hardware Policy Driver","hwpolicy","Stopped","Boot","C:\Windows\system32\drivers\hwpolicy.sys","False"
"hyperkbd","hyperkbd","Stopped","Manual","C:\Windows\system32\drivers\hyperkbd.sys","False"
"HyperVideo","HyperVideo","Stopped","Manual","C:\Windows\system32\drivers\HyperVideo.sys","False"
"i8042 Keyboard and PS/2 Mouse Port Driver","i8042prt","Running","Manual","C:\Windows\system32\drivers\i8042prt.sys","False"
"Intel Serial IO GPIO Controller Driver","iagpio","Stopped","Manual","C:\Windows\system32\drivers\iagpio.sys","False"
"Intel(R) Serial IO I2C Host Controller","iai2c","Stopped","Manual","C:\Windows\system32\drivers\iai2c.sys","False"
"Intel(R) Serial IO GPIO Driver v2","iaLPSS2i_GPIO2","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_GPIO2.sys","False"
"Intel(R) Serial IO GPIO Driver v2","iaLPSS2i_GPIO2_BXT_P","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_BXT_P.sys","False"
"Intel(R) Serial IO GPIO Driver v2","iaLPSS2i_GPIO2_CNL","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_CNL.sys","False"
"Intel(R) Serial IO GPIO Driver v2","iaLPSS2i_GPIO2_GLK","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_GPIO2_GLK.sys","False"
"Intel(R) Serial IO I2C Driver v2","iaLPSS2i_I2C","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_I2C.sys","False"
"Intel(R) Serial IO I2C Driver v2","iaLPSS2i_I2C_BXT_P","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_I2C_BXT_P.sys","False"
"Intel(R) Serial IO I2C Driver v2","iaLPSS2i_I2C_CNL","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_I2C_CNL.sys","False"
"Intel(R) Serial IO I2C Driver v2","iaLPSS2i_I2C_GLK","Stopped","Manual","C:\Windows\system32\drivers\iaLPSS2i_I2C_GLK.sys","False"
"Intel(R) Serial IO GPIO Controller Driver","iaLPSSi_GPIO","Stopped","Manual","C:\Windows\system32\drivers\iaLPSSi_GPIO.sys","False"
"Intel(R) Serial IO I2C Controller Driver","iaLPSSi_I2C","Stopped","Manual","C:\Windows\system32\drivers\iaLPSSi_I2C.sys","False"
"Intel Chipset SATA RAID Controller","iaStorAVC","Stopped","Manual","C:\Windows\system32\drivers\iaStorAVC.sys","False"
"Intel RAID Controller Windows 7","iaStorV","Stopped","Manual","C:\Windows\system32\drivers\iaStorV.sys","False"
"Mellanox InfiniBand Bus/AL (Filter Driver)","ibbus","Stopped","Manual","C:\Windows\system32\drivers\ibbus.sys","False"
"Indirect Displays Kernel-Mode Driver","IndirectKmd","Stopped","Manual","C:\Windows\system32\drivers\IndirectKmd.sys","False"
"intelide","intelide","Stopped","Manual","C:\Windows\system32\drivers\intelide.sys","False"
"Intel(R) Power Engine Plug-in Driver","intelpep","Running","Boot","C:\Windows\system32\drivers\intelpep.sys","False"
"Intel(R) Dynamic Device Peak Power Manager Driver","intelpmax","Stopped","Manual","C:\Windows\system32\drivers\intelpmax.sys","False"
"Intel Processor Driver","intelppm","Stopped","Manual","C:\Windows\system32\drivers\intelppm.sys","False"
"Disk I/O Rate Filter Driver","iorate","Running","Boot","C:\Windows\system32\drivers\iorate.sys","False"
"IP Traffic Filter Driver","IpFilterDriver","Stopped","Manual","C:\Windows\system32\DRIVERS\ipfltdrv.sys","False"
"IPMIDRV","IPMIDRV","Stopped","Manual","C:\Windows\system32\drivers\IPMIDrv.sys","False"
"IP Network Address Translator","IPNAT","Stopped","Manual","C:\Windows\system32\drivers\ipnat.sys","False"
"IPT","IPT","Stopped","Manual","C:\Windows\system32\drivers\ipt.sys","False"
"isapnp","isapnp","Stopped","Manual","C:\Windows\system32\drivers\isapnp.sys","False"
"iScsiPort Driver","iScsiPrt","Stopped","Manual","C:\Windows\system32\drivers\msiscsi.sys","False"
"ItSas35i","ItSas35i","Stopped","Manual","C:\Windows\system32\drivers\ItSas35i.sys","False"
"Keyboard Class Driver","kbdclass","Running","Manual","C:\Windows\system32\drivers\kbdclass.sys","False"
"Keyboard HID Driver","kbdhid","Stopped","Manual","C:\Windows\system32\drivers\kbdhid.sys","False"
"kbldfltr","kbldfltr","Stopped","Manual","C:\Windows\system32\drivers\kbldfltr.sys","False"
"Microsoft Kernel Debug Network Miniport (NDIS 6.20)","kdnic","Running","Manual","C:\Windows\system32\drivers\kdnic.sys","False"
"KSecDD","KSecDD","Running","Boot","C:\Windows\system32\Drivers\ksecdd.sys","False"
"KSecPkg","KSecPkg","Running","Boot","C:\Windows\system32\Drivers\ksecpkg.sys","False"
"Kernel Streaming Thunks","ksthunk","Stopped","Manual","C:\Windows\system32\drivers\ksthunk.sys","False"
"Link-Layer Topology Discovery Mapper I/O Driver","lltdio","Running","Auto","C:\Windows\system32\drivers\lltdio.sys","False"
"LSI_SAS","LSI_SAS","Stopped","Manual","C:\Windows\system32\drivers\lsi_sas.sys","False"
"LSI_SAS2i","LSI_SAS2i","Stopped","Manual","C:\Windows\system32\drivers\lsi_sas2i.sys","False"
"LSI_SAS3i","LSI_SAS3i","Stopped","Manual","C:\Windows\system32\drivers\lsi_sas3i.sys","False"
"LSI_SSS","LSI_SSS","Stopped","Manual","C:\Windows\system32\drivers\lsi_sss.sys","False"
"UAC File Virtualization","luafv","Running","Auto","C:\Windows\system32\drivers\luafv.sys","False"
"MA-USB Host Controller Driver","mausbhost","Stopped","Manual","C:\Windows\system32\drivers\mausbhost.sys","False"
"MA-USB IP Filter Driver","mausbip","Stopped","Manual","C:\Windows\system32\drivers\mausbip.sys","False"
"MBB Network Adapter Class Extension","MbbCx","Stopped","Manual","C:\Windows\system32\drivers\MbbCx.sys","False"
"megasas","megasas","Stopped","Manual","C:\Windows\system32\drivers\megasas.sys","False"
"megasas2i","megasas2i","Stopped","Manual","C:\Windows\system32\drivers\MegaSas2i.sys","False"
"megasas35i","megasas35i","Stopped","Manual","C:\Windows\system32\drivers\megasas35i.sys","False"
"megasr","megasr","Stopped","Manual","C:\Windows\system32\drivers\megasr.sys","False"
"Microsoft Bluetooth Avrcp Transport Driver","Microsoft_Bluetooth_AvrcpTransport","Stopped","Manual","C:\Windows\system32\drivers\Microsoft.Bluetooth.AvrcpTransport.sys","False"
