"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","3456","0,046875","4767744","30/04/2025 3:10:02"
"csrss","460","0,21875","6246400","30/04/2025 1:48:53"
"csrss","540","0,046875","5951488","30/04/2025 1:48:53"
"dfsrs","2840","0,3125","24055808","30/04/2025 3:10:02"
"dns","2800","0,296875","130985984","30/04/2025 3:10:02"
"dwm","756","0,921875","49930240","30/04/2025 1:48:57"
"fontdrvhost","2988","0,03125","3579904","30/04/2025 3:10:18"
"fontdrvhost","3616","0","3698688","30/04/2025 3:10:18"
"Idle","0",,"8192",
"ismserv","2780","0,015625","6373376","30/04/2025 3:10:02"
"LogonUI","448","0,375","53579776","30/04/2025 1:48:57"
"lsass","684","8,828125","66732032","30/04/2025 1:48:53"
"Microsoft.ActiveDirectory.WebServices","2792","0,4375","50356224","30/04/2025 3:10:02"
"MicrosoftEdgeUpdate","4756","0,0625","4194304","30/04/2025 3:11:21"
"msdtc","4156","0,0625","10682368","30/04/2025 3:11:22"
"MsMpEng","2956","4,28125","200495104","30/04/2025 3:10:02"
"NisSrv","3928","0,03125","10768384","30/04/2025 3:10:04"
"Registry","124","0,65625","69369856","30/04/2025 1:48:51"
"services","676","0,890625","9183232","30/04/2025 1:48:53"
"smss","360","0,140625","1286144","30/04/2025 1:48:52"
"svchost","408","0,03125","7356416","30/04/2025 1:48:57"
"svchost","472","0,03125","10665984","30/04/2025 3:11:22"
"svchost","552","0,046875","14737408","30/04/2025 3:10:44"
"svchost","784","0,046875","11636736","30/04/2025 3:11:21"
"svchost","840","0,03125","8491008","30/04/2025 1:48:57"
"svchost","912","0,1875","14155776","30/04/2025 1:48:56"
"svchost","968","0,359375","10149888","30/04/2025 1:48:56"
"svchost","1008","0,015625","7036928","30/04/2025 1:48:57"
"svchost","1012","0,03125","7487488","30/04/2025 1:48:56"
"svchost","1020","0,109375","15183872","30/04/2025 3:11:22"
"svchost","1080","0,3125","10371072","30/04/2025 1:48:57"
"svchost","1092","0","6172672","30/04/2025 1:48:57"
"svchost","1136","0,078125","7323648","30/04/2025 1:48:57"
"svchost","1200","0,453125","16764928","30/04/2025 1:48:57"
"svchost","1336","0,15625","18366464","30/04/2025 1:48:57"
"svchost","1372","0,078125","12513280","30/04/2025 1:48:57"
"svchost","1436","0,234375","13295616","30/04/2025 1:48:57"
"svchost","1444","0,0625","11657216","30/04/2025 1:48:57"
"svchost","1456","0,015625","7946240","30/04/2025 1:48:57"
"svchost","1468","0","5931008","30/04/2025 1:48:57"
"svchost","1588","0,0625","10944512","30/04/2025 3:09:52"
"svchost","1620","0","5939200","30/04/2025 3:09:52"
"svchost","1644","0,109375","10653696","30/04/2025 3:09:52"
"svchost","1672","0,8125","16039936","30/04/2025 3:09:52"
"svchost","1688","0","9027584","30/04/2025 3:09:52"
"svchost","1744","0,03125","8847360","30/04/2025 3:09:52"
"svchost","1828","0,1875","7675904","30/04/2025 3:09:52"
"svchost","1852","0,03125","7913472","30/04/2025 3:09:52"
"svchost","1956","0,078125","9367552","30/04/2025 3:09:52"
"svchost","2016","0,015625","7770112","30/04/2025 3:09:52"
"svchost","2164","0,109375","11657216","30/04/2025 3:09:52"
"svchost","2368","0,015625","7417856","30/04/2025 3:09:53"
"svchost","2484","0","5599232","30/04/2025 3:09:53"
"svchost","2560","0,046875","13246464","30/04/2025 3:10:02"
"svchost","2664","0,0625","8929280","30/04/2025 3:10:02"
"svchost","2680","0,03125","12111872","30/04/2025 3:11:23"
"svchost","2752","0,03125","6164480","30/04/2025 3:10:02"
"svchost","2760","0,140625","13402112","30/04/2025 3:10:02"
"svchost","2768","0,578125","30978048","30/04/2025 3:10:02"
"svchost","2808","0,015625","7282688","30/04/2025 3:10:02"
"svchost","2860","0,03125","6860800","30/04/2025 3:10:02"
"svchost","2904","1,234375","19832832","30/04/2025 3:10:02"
"svchost","2980","0,15625","11112448","30/04/2025 3:10:02"
"svchost","3008","0,421875","14614528","30/04/2025 3:10:02"
"svchost","4108","0,265625","17129472","30/04/2025 6:53:54"
"svchost","4216","0,90625","15433728","30/04/2025 3:11:21"
"svchost","4336","0","7282688","30/04/2025 3:10:18"
"System","4","6,296875","139264","30/04/2025 1:48:52"
"VBoxService","1388","0,078125","6537216","30/04/2025 1:48:57"
"vds","3328","0,09375","11444224","30/04/2025 3:10:02"
"wininit","532","0,046875","7180288","30/04/2025 1:48:53"
"winlogon","600","0,0625","10534912","30/04/2025 1:48:53"
"wlms","2948","0","3670016","30/04/2025 3:10:02"
"WmiPrvSE","628","0,203125","13905920","30/04/2025 6:39:37"
"wsmprovhost","620","0,828125","158638080","30/04/2025 7:00:43"
"wsmprovhost","1144","0,546875","152117248","30/04/2025 4:10:21"
"wsmprovhost","1968","1,234375","160591872","30/04/2025 4:19:47"
