"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","4572","0,03125","4980736","2/05/2025 10:33:15"
"csrss","472","0,34375","5513216","2/05/2025 10:33:10"
"csrss","556","0,09375","5136384","2/05/2025 10:33:10"
"dllhost","3568","0,046875","11345920","2/05/2025 10:33:12"
"dwm","1228","0,21875","41893888","2/05/2025 10:33:11"
"fontdrvhost","860","0","4677632","2/05/2025 10:33:11"
"fontdrvhost","868","0","4796416","2/05/2025 10:33:11"
"Idle","0",,"8192",
"LogonUI","1160","0,25","56938496","2/05/2025 10:33:11"
"lsass","712","0,734375","19226624","2/05/2025 10:33:11"
"Memory Compression","1780","2,5625","28123136","2/05/2025 10:33:11"
"MicrosoftEdgeUpdate","4472","0,015625","4030464","2/05/2025 10:50:47"
"MpDefenderCoreService","2968","0,3125","18710528","2/05/2025 10:33:12"
"MsMpEng","1472","46,03125","273252352","2/05/2025 10:33:12"
"NisSrv","4440","0,015625","11145216","2/05/2025 10:33:18"
"Registry","108","0,375","74604544","2/05/2025 10:33:06"
"SearchIndexer","4084","1,859375","29896704","2/05/2025 10:33:13"
"services","692","0,734375","13328384","2/05/2025 10:33:11"
"smss","380","0,09375","1228800","2/05/2025 10:33:08"
"svchost","460","0,09375","11890688","2/05/2025 10:33:11"
"svchost","688","0,15625","7831552","2/05/2025 10:33:11"
"svchost","728","0,015625","8261632","2/05/2025 10:33:11"
"svchost","764","0,0625","5861376","2/05/2025 10:33:11"
"svchost","824","0,4375","18219008","2/05/2025 10:33:11"
"svchost","948","0,59375","10612736","2/05/2025 10:33:11"
"svchost","1000","0,0625","7880704","2/05/2025 10:33:11"
"svchost","1080","0,03125","8806400","2/05/2025 10:33:11"
"svchost","1088","0","6680576","2/05/2025 10:33:11"
"svchost","1128","0,140625","7983104","2/05/2025 10:33:11"
"svchost","1184","0,296875","9236480","2/05/2025 10:33:11"
"svchost","1340","0,453125","16818176","2/05/2025 10:33:11"
"svchost","1424","0,890625","20832256","2/05/2025 10:33:11"
"svchost","1436","1,015625","16347136","2/05/2025 10:33:11"
"svchost","1484","0","14065664","2/05/2025 10:50:47"
"svchost","1500","0,015625","6426624","2/05/2025 10:33:11"
"svchost","1528","0,0625","11550720","2/05/2025 10:33:11"
"svchost","1548","0,078125","13873152","2/05/2025 10:33:11"
"svchost","1768","0,015625","9003008","2/05/2025 10:33:11"
"svchost","1796","0,015625","7651328","2/05/2025 10:33:11"
"svchost","1920","0,015625","8175616","2/05/2025 10:33:11"
"svchost","1932","12,078125","47730688","2/05/2025 10:33:11"
"svchost","1952","0,015625","6258688","2/05/2025 10:33:11"
"svchost","1996","0,140625","10027008","2/05/2025 10:33:11"
"svchost","2020","0,09375","16683008","2/05/2025 10:33:12"
"svchost","2060","0,015625","6344704","2/05/2025 10:33:11"
"svchost","2100","0,3125","8024064","2/05/2025 10:33:11"
"svchost","2156","0","7856128","2/05/2025 10:33:11"
"svchost","2164","0,03125","8691712","2/05/2025 10:33:11"
"svchost","2208","1,25","20480000","2/05/2025 10:33:11"
"svchost","2308","0,0625","8835072","2/05/2025 10:33:11"
"svchost","2320","0,125","11190272","2/05/2025 10:33:11"
"svchost","2436","0,03125","8863744","2/05/2025 10:49:45"
"svchost","2588","0,0625","9121792","2/05/2025 11:07:23"
"svchost","2648","0,03125","6934528","2/05/2025 10:33:11"
"svchost","2656","0,03125","10166272","2/05/2025 10:33:11"
"svchost","2708","0","10346496","2/05/2025 10:33:11"
"svchost","2828","0,078125","9576448","2/05/2025 10:33:11"
"svchost","2916","1,515625","42962944","2/05/2025 10:33:12"
"svchost","2928","0,15625","10547200","2/05/2025 10:33:12"
"svchost","2936","0,734375","24604672","2/05/2025 10:33:12"
"svchost","2988","0,03125","9674752","2/05/2025 10:33:12"
"svchost","3016","0,03125","7213056","2/05/2025 10:33:12"
"svchost","3036","0","6119424","2/05/2025 10:33:12"
"svchost","3220","0,03125","5976064","2/05/2025 10:33:12"
"svchost","3296","0,0625","13553664","2/05/2025 10:33:12"
"svchost","3312","0,03125","10215424","2/05/2025 10:52:12"
"svchost","3328","0,71875","12161024","2/05/2025 10:33:12"
"svchost","3820","0,09375","17719296","2/05/2025 10:50:46"
"svchost","3928","0,03125","15069184","2/05/2025 10:33:13"
"svchost","3984","0,03125","8884224","2/05/2025 10:33:13"
"svchost","4292","0,09375","17227776","2/05/2025 10:50:43"
"svchost","4680","0,015625","11513856","2/05/2025 10:50:47"
"svchost","4716","0,1875","23801856","2/05/2025 10:50:47"
"svchost","4720","0,296875","21254144","2/05/2025 10:49:45"
"svchost","4856","0,03125","11096064","2/05/2025 10:50:47"
"System","4","21,890625","155648","2/05/2025 10:33:07"
"VBoxService","1788","0,0625","6762496","2/05/2025 10:33:11"
"wininit","548","0,078125","7409664","2/05/2025 10:33:10"
"winlogon","620","0,09375","11038720","2/05/2025 10:33:11"
"WmiPrvSE","3912","0,0625","12279808","2/05/2025 14:08:34"
"wsmprovhost","3512","1,03125","153559040","2/05/2025 10:50:59"
