"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","4276","0,015625","4747264","30/04/2025 10:37:17"
"ApplicationFrameHost","7100","0,078125","28536832","30/04/2025 12:23:35"
"conhost","7348","1,015625","512000","30/04/2025 12:09:38"
"csrss","472","0,421875","5337088","30/04/2025 10:37:13"
"csrss","572","1,953125","6320128","30/04/2025 10:37:13"
"ctfmon","3988","0,1875","16826368","30/04/2025 12:09:05"
"dllhost","3532","0,078125","11517952","30/04/2025 10:37:15"
"dwm","1180","3,625","66670592","30/04/2025 10:37:14"
"explorer","5388","6,078125","13070336","30/04/2025 12:09:05"
"fontdrvhost","864","0,15625","4415488","30/04/2025 10:37:14"
"fontdrvhost","872","0,0625","3375104","30/04/2025 10:37:14"
"Idle","0",,"8192",
"LogonUI","4396","0,1875","53760000","30/04/2025 12:34:04"
"lsass","716","1,671875","21262336","30/04/2025 10:37:13"
"Memory Compression","2052","3,59375","67391488","30/04/2025 10:37:14"
"MicrosoftEdgeUpdate","4776","0,078125","4169728","30/04/2025 10:38:57"
"MpDefenderCoreService","2768","0,5625","15753216","30/04/2025 10:37:14"
"MsMpEng","2828","20,953125","182120448","30/04/2025 10:37:14"
"NisSrv","4832","0,078125","10260480","30/04/2025 10:37:21"
"OneDrive","2508","2,453125","16211968","30/04/2025 12:09:21"
"powershell","7340","3,015625","6467584","30/04/2025 12:09:38"
"Registry","108","0,59375","74285056","30/04/2025 10:37:08"
"RuntimeBroker","5268","0,046875","17666048","30/04/2025 12:11:36"
"RuntimeBroker","5768","0,4375","29974528","30/04/2025 12:09:07"
"RuntimeBroker","6100","0,84375","28266496","30/04/2025 12:09:07"
"RuntimeBroker","6452","0,25","16822272","30/04/2025 12:09:08"
"SearchApp","5420","2,34375","163647488","30/04/2025 12:09:07"
"SearchIndexer","3804","0,921875","18919424","30/04/2025 10:37:15"
"SecurityHealthService","7116","0,265625","16625664","30/04/2025 12:09:20"
"SecurityHealthSystray","7084","0,046875","401408","30/04/2025 12:09:20"
"services","696","0,984375","9650176","30/04/2025 10:37:13"
"ShellExperienceHost","7932","0,21875","46571520","30/04/2025 12:11:36"
"sihost","1028","0,40625","26132480","30/04/2025 12:09:05"
"smss","376","0,234375","1085440","30/04/2025 10:37:10"
"StartMenuExperienceHost","6004","0,546875","60813312","30/04/2025 12:09:06"
"svchost","452","0,109375","10760192","30/04/2025 10:37:14"
"svchost","576","0,5","32722944","30/04/2025 12:09:05"
"svchost","692","0","7495680","30/04/2025 10:37:14"
"svchost","740","0,859375","14258176","30/04/2025 10:38:58"
"svchost","796","0,046875","15826944","30/04/2025 10:37:17"
"svchost","828","0,9375","27009024","30/04/2025 10:37:14"
"svchost","852","0","5320704","30/04/2025 10:37:14"
"svchost","960","1,9375","13201408","30/04/2025 10:37:14"
"svchost","1000","0,21875","6959104","30/04/2025 10:37:14"
"svchost","1004","0,09375","8560640","30/04/2025 10:37:14"
"svchost","1120","0,09375","7147520","30/04/2025 10:37:14"
"svchost","1140","0,0625","9912320","30/04/2025 10:37:14"
"svchost","1164","0,0625","12275712","30/04/2025 10:37:14"
"svchost","1236","1,25","8704000","30/04/2025 10:37:14"
"svchost","1364","1,515625","16101376","30/04/2025 10:37:14"
"svchost","1392","0,828125","16748544","30/04/2025 10:37:14"
"svchost","1444","0,90625","14176256","30/04/2025 10:37:14"
"svchost","1492","0,078125","6123520","30/04/2025 10:37:14"
"svchost","1544","0,09375","12161024","30/04/2025 10:37:14"
"svchost","1552","0,109375","12996608","30/04/2025 10:37:14"
"svchost","1620","0,015625","8519680","30/04/2025 10:37:14"
"svchost","1644","0,09375","9891840","30/04/2025 10:37:14"
"svchost","1708","0,15625","10547200","30/04/2025 10:38:58"
"svchost","1820","0","6983680","30/04/2025 10:37:14"
"svchost","1876","0,1875","9539584","30/04/2025 10:37:14"
"svchost","1888","0,09375","7778304","30/04/2025 10:37:14"
"svchost","1908","16,625","51806208","30/04/2025 10:37:14"
"svchost","1940","0,046875","6127616","30/04/2025 10:37:14"
"svchost","2028","0,171875","15839232","30/04/2025 12:09:05"
"svchost","2096","0,015625","7585792","30/04/2025 10:37:14"
"svchost","2104","0,5","8568832","30/04/2025 10:37:14"
"svchost","2212","1,71875","7532544","30/04/2025 10:37:14"
"svchost","2228","0,0625","9072640","30/04/2025 10:37:14"
"svchost","2336","0,0625","9236480","30/04/2025 10:37:14"
"svchost","2344","0,046875","6438912","30/04/2025 10:37:14"
"svchost","2416","0,09375","13819904","30/04/2025 10:37:14"
"svchost","2472","0,0625","13258752","30/04/2025 16:10:19"
"svchost","2564","0,140625","8269824","30/04/2025 10:37:14"
"svchost","2584","1,609375","19324928","30/04/2025 10:37:14"
"svchost","2660","0,75","12886016","30/04/2025 10:37:14"
"svchost","2668","2,25","36249600","30/04/2025 10:37:14"
"svchost","2680","1,25","26972160","30/04/2025 10:37:14"
"svchost","2780","0,03125","6406144","30/04/2025 10:37:14"
"svchost","2788","0,171875","9236480","30/04/2025 10:37:14"
"svchost","2800","0","5644288","30/04/2025 10:37:14"
"svchost","2812","0,109375","10665984","30/04/2025 10:37:14"
"svchost","2852","0,03125","16465920","30/04/2025 10:37:14"
"svchost","2940","0","5550080","30/04/2025 10:37:14"
"svchost","3180","1,1875","14544896","30/04/2025 10:37:15"
"svchost","3224","0,03125","12554240","30/04/2025 10:37:15"
"svchost","3240","0,015625","8597504","30/04/2025 12:09:05"
"svchost","3748","0,09375","11366400","30/04/2025 10:38:58"
"svchost","3876","0,109375","17883136","30/04/2025 12:09:05"
"svchost","3968","0,015625","8441856","30/04/2025 10:37:16"
"svchost","4228","0,109375","18059264","30/04/2025 10:38:54"
"svchost","4284","0,015625","9535488","30/04/2025 10:38:58"
"svchost","4836","0,109375","17301504","30/04/2025 10:38:57"
"svchost","5676","0,65625","19939328","30/04/2025 12:09:06"
"svchost","5696","0,03125","6422528","30/04/2025 12:12:10"
"svchost","7700","0,125","13107200","30/04/2025 12:11:34"
"System","4","18,265625","151552","30/04/2025 10:37:10"
"SystemSettings","3548","0,421875","1269760","30/04/2025 12:23:35"
"taskhostw","2188","0,09375","14487552","30/04/2025 12:09:05"
"UserOOBEBroker","660","0,109375","10067968","30/04/2025 12:18:58"
"VBoxService","1800","0,046875","6688768","30/04/2025 10:37:14"
"VBoxTray","6552","0,203125","2199552","30/04/2025 12:09:21"
"wininit","552","0,046875","6758400","30/04/2025 10:37:13"
"winlogon","648","0,140625","11165696","30/04/2025 10:37:13"
