"Name","Id","CPU","WorkingSet","StartTime"
"AggregatorHost","4252","0","4833280","28/04/2025 22:02:41"
"ApplicationFrameHost","4060","0,203125","30138368","28/04/2025 22:03:07"
"cmd","2784","0,03125","499712","28/04/2025 22:03:50"
"conhost","2688","0,65625","1523712","28/04/2025 22:03:50"
"csrss","476","0,5","5410816","28/04/2025 22:02:37"
"csrss","564","1,609375","5197824","28/04/2025 22:02:37"
"ctfmon","5156","0,328125","20639744","28/04/2025 22:02:58"
"dllhost","3608","0,078125","11517952","28/04/2025 22:02:39"
"dllhost","4532","0,109375","12718080","28/04/2025 22:03:04"
"dwm","1328","3,953125","60764160","28/04/2025 22:02:38"
"explorer","5392","3,640625","21123072","28/04/2025 22:02:58"
"fontdrvhost","868","0,03125","4022272","28/04/2025 22:02:38"
"fontdrvhost","876","0,140625","6987776","28/04/2025 22:02:38"
"Idle","0",,"8192",
"LogonUI","1184","0,875","70373376","28/04/2025 22:22:02"
"lsass","720","2,625","21590016","28/04/2025 22:02:37"
"Memory Compression","2052","8,09375","72343552","28/04/2025 22:02:38"
"MicrosoftEdgeUpdate","4376","0,125","4128768","28/04/2025 22:02:58"
"MpDefenderCoreService","2940","0,609375","16044032","28/04/2025 22:02:38"
"MsMpEng","3056","57,875","212807680","28/04/2025 22:02:38"
"NisSrv","4952","0,03125","9527296","28/04/2025 22:02:45"
"OneDrive","7996","2,9375","20467712","28/04/2025 22:03:13"
"Registry","108","0,828125","71987200","28/04/2025 22:02:33"
"RuntimeBroker","1864","0,0625","17805312","28/04/2025 23:02:12"
"RuntimeBroker","5272","0,828125","29401088","28/04/2025 22:03:01"
"RuntimeBroker","5884","1,015625","41988096","28/04/2025 22:03:01"
"RuntimeBroker","6424","0,6875","16752640","28/04/2025 22:03:02"
"SearchApp","5520","4,765625","196186112","28/04/2025 22:03:01"
"SearchIndexer","3816","1,921875","23654400","28/04/2025 22:02:39"
"SecurityHealthService","7208","0,765625","18579456","28/04/2025 22:03:07"
"SecurityHealthSystray","7876","0,03125","512000","28/04/2025 22:03:12"
"services","700","2,296875","13234176","28/04/2025 22:02:37"
"ShellExperienceHost","1440","0,359375","46665728","28/04/2025 23:02:12"
"sihost","4656","0,578125","28291072","28/04/2025 22:02:58"
"smss","380","0,09375","1089536","28/04/2025 22:02:34"
"StartMenuExperienceHost","6040","0,65625","67395584","28/04/2025 22:03:01"
"svchost","420","0,265625","10747904","28/04/2025 22:02:38"
"svchost","732","0,03125","7806976","28/04/2025 22:02:38"
"svchost","740","0,34375","7135232","28/04/2025 22:02:38"
"svchost","788","0,296875","11710464","28/04/2025 22:04:39"
"svchost","820","0,015625","6434816","28/04/2025 22:17:41"
"svchost","832","1,96875","28581888","28/04/2025 22:02:38"
